instrument_name,open,high,low,close,vol,vol_ccy,vol_quote,open_time,confirm
BTC-USDT,105437.9,105513,105411.1,105464.4,17.67822971,1864488.268221639,1864488.268221639,1738339200000,1
BTC-USDT,105464.4,105501.1,105376,105398.6,14.71195646,1550949.363790217,1550949.363790217,1738339260000,1
BTC-USDT,105398.7,105464,105324.4,105394.4,9.57688543,1009274.811201241,1009274.811201241,1738339320000,1
BTC-USDT,105394.5,105574.6,105382,105563.6,11.57910426,1221485.739472066,1221485.739472066,1738339380000,1
BTC-USDT,105563.6,105571.9,105469.8,105507.3,6.74767669,712122.445725408,712122.445725408,1738339440000,1
BTC-USDT,105507.3,105510.5,105395.4,105455.5,7.12068385,750862.630990227,750862.630990227,1738339500000,1
BTC-USDT,105452.1,105452.1,105266.6,105272.8,15.99386246,1684551.793240553,1684551.793240553,1738339560000,1
BTC-USDT,105274.9,105311.8,105217.1,105217.2,4.05720054,427096.972918653,427096.972918653,1738339620000,1
BTC-USDT,105217.2,105266.4,105203.4,105243.4,6.30226784,663219.958810656,663219.958810656,1738339680000,1
BTC-USDT,105243.3,105371.8,105229,105371.7,5.34627431,562834.171810459,562834.171810459,1738339740000,1
BTC-USDT,105371.7,105382.7,105252.4,105252.4,7.21132138,759726.335797025,759726.335797025,1738339800000,1
BTC-USDT,105252.4,105252.4,105122.1,105144.8,6.46162901,679608.857061652,679608.857061652,1738339860000,1
BTC-USDT,105146.8,105255.4,105146.8,105188.9,3.89261856,409514.356000625,409514.356000625,1738339920000,1
BTC-USDT,105190,105239.2,105147.9,105239.2,4.433057,466314.574531068,466314.574531068,1738339980000,1
BTC-USDT,105240,105241.8,105178.5,105236.9,1.15232262,121238.781434554,121238.781434554,1738340040000,1
BTC-USDT,105237,105243.2,105118.7,105120.9,13.85542137,1457092.336111568,1457092.336111568,1738340100000,1
BTC-USDT,105126.2,105151.9,105096.9,105119,5.48721298,576780.168184357,576780.168184357,1738340160000,1
BTC-USDT,105120,105172.2,105044.3,105088.3,4.66432354,490184.435866213,490184.435866213,1738340220000,1
BTC-USDT,105084,105175.8,105075.6,105156.6,17.74556751,1865356.246356072,1865356.246356072,1738340280000,1
BTC-USDT,105160.2,105245.8,105155.7,105180.2,7.79670846,820156.812917372,820156.812917372,1738340340000,1
BTC-USDT,105180.3,105211.9,105139.5,105187.2,7.20698633,757963.106577679,757963.106577679,1738340400000,1
BTC-USDT,105187.2,105187.2,105078.8,105118.3,15.09845699,1587084.856860879,1587084.856860879,1738340460000,1
BTC-USDT,105119.9,105187.7,105103.8,105103.8,4.67991449,492073.598452913,492073.598452913,1738340520000,1
BTC-USDT,105103.7,105213.8,105095,105210.1,5.54893495,583467.093317836,583467.093317836,1738340580000,1
BTC-USDT,105210.3,105280,105180.4,105279.9,13.35258541,1405120.331201828,1405120.331201828,1738340640000,1
BTC-USDT,105279.9,105317.6,105161.8,105164,4.01612645,422757.410648599,422757.410648599,1738340700000,1
BTC-USDT,105165.1,105172.5,104971.2,104971.2,7.60095542,798593.906807342,798593.906807342,1738340760000,1
BTC-USDT,104971.3,104993.9,104851.5,104856.1,9.03936632,948289.128215489,948289.128215489,1738340820000,1
BTC-USDT,104856.1,104856.1,104700.1,104814.8,12.45152414,1304301.157569337,1304301.157569337,1738340880000,1
BTC-USDT,104814.8,104851.3,104798.1,104798.2,2.96789212,311117.365106931,311117.365106931,1738340940000,1
BTC-USDT,104798.2,104887.8,104798.2,104865.5,3.68607774,386473.450022078,386473.450022078,1738341000000,1
BTC-USDT,104865.4,105111.9,104860.6,105002.9,13.96478141,1466472.214672939,1466472.214672939,1738341060000,1
BTC-USDT,105003,105063.2,104963.1,104982,9.71163083,1019857.718768679,1019857.718768679,1738341120000,1
BTC-USDT,104981.9,105051.7,104911.9,104960.3,5.8518183,614263.131286064,614263.131286064,1738341180000,1
