instrument_name,open,high,low,close,vol,vol_ccy,vol_quote,open_time,confirm
ETH-USDT,2329.45,2330.58,2329.29,2329.29,152.425894,355172.75492974,355172.75492974,1706716800000,0
ETH-USDT,2329.26,2329.64,2326.12,2328.52,125.349030,291766.99081828,291766.99081828,1706716860000,0
ETH-USDT,2328.51,2328.77,2325.76,2325.76,43.088150,100267.79531480,100267.79531480,1706716920000,0
ETH-USDT,2325.75,2330.94,2324.97,2330.70,378.581000,881208.14415917,881208.14415917,1706716980000,0
ETH-USDT,2330.85,2334.20,2330.85,2333.66,397.495388,927319.70603703,927319.70603703,1706717040000,0
ETH-USDT,2333.70,2335.29,2333.41,2334.31,131.263280,306422.23595942,306422.23595942,1706717100000,0
ETH-USDT,2334.30,2335.41,2331.46,2333.64,99.846068,232950.08982872,232950.08982872,1706717160000,0
ETH-USDT,2333.64,2335.45,2332.05,2333.84,78.053231,182131.39218794,182131.39218794,1706717220000,0
ETH-USDT,2333.87,2335.19,2332.39,2335.06,148.609955,346796.03775847,346796.03775847,1706717280000,0
ETH-USDT,2335.05,2335.39,2332.68,2332.68,25.276873,58997.71544323,58997.71544323,1706717340000,0
ETH-USDT,2332.68,2332.68,2328.88,2331.16,115.899488,270099.95570362,270099.95570362,1706717400000,0
ETH-USDT,2331.19,2331.39,2329.50,2330.64,33.431385,77914.32310568,77914.32310568,1706717460000,0
ETH-USDT,2330.64,2331.50,2330.64,2330.79,46.583689,108589.60231484,108589.60231484,1706717520000,0
ETH-USDT,2330.79,2332.17,2330.42,2330.80,80.270364,187120.74761528,187120.74761528,1706717580000,0
ETH-USDT,2330.80,2331.60,2329.80,2330.28,83.828142,195377.55563257,195377.55563257,1706717640000,0
ETH-USDT,2330.27,2330.73,2328.26,2328.26,224.308873,522411.17972739,522411.17972739,1706717700000,0
ETH-USDT,2328.26,2332.84,2327.41,2332.71,74.474994,173443.30885489,173443.30885489,1706717760000,0
ETH-USDT,2332.78,2332.87,2330.26,2331.30,30.771918,71742.81933631,71742.81933631,1706717820000,0
ETH-USDT,2331.29,2331.29,2327.94,2327.94,21.283281,49576.36590324,49576.36590324,1706717880000,0
ETH-USDT,2328.09,2329.52,2327.12,2329.52,45.360437,105586.83276722,105586.83276722,1706717940000,0
ETH-USDT,2329.65,2329.65,2326.44,2326.88,28.229650,65695.04045538,65695.04045538,1706718000000,0
ETH-USDT,2326.88,2329.60,2326.83,2329.53,33.753927,78582.31114523,78582.31114523,1706718060000,0
ETH-USDT,2329.53,2330.75,2328.94,2330.75,48.116613,112080.85732111,112080.85732111,1706718120000,0
ETH-USDT,2330.89,2331.04,2329.70,2330.69,16.981310,39576.83965240,39576.83965240,1706718180000,0
