instrument_name,open,high,low,close,vol,vol_ccy,vol_quote,open_time,confirm
SOL-USDT,164.85,165.43,164.66,165.42,1286.208667,212115.87503696,212115.87503696,1717171200000,0
SOL-USDT,165.45,165.54,164.99,165.04,675.499881,111602.25751214,111602.25751214,1717171260000,0
SOL-USDT,165.02,165.05,164.57,164.60,887.743705,146216.70014606,146216.70014606,1717171320000,0
SOL-USDT,164.58,164.72,164.54,164.65,855.749977,140875.94322261,140875.94322261,1717171380000,0
SOL-USDT,164.60,164.83,164.59,164.83,656.598244,108153.68533866,108153.68533866,1717171440000,0
SOL-USDT,164.83,165.10,164.76,164.98,937.835209,154688.09938157,154688.09938157,1717171500000,0
SOL-USDT,164.97,165.10,164.39,164.40,1532.011221,252205.98733416,252205.98733416,1717171560000,0
SOL-USDT,164.40,164.52,164.29,164.48,1181.036942,194135.14991249,194135.14991249,1717171620000,0
SOL-USDT,164.50,164.54,164.20,164.22,604.638153,99353.74107046,99353.74107046,1717171680000,0
SOL-USDT,164.22,164.27,164.07,164.08,1480.323635,243016.75722526,243016.75722526,1717171740000,0
SOL-USDT,164.08,164.26,164.02,164.19,929.348345,152530.18984847,152530.18984847,1717171800000,0
SOL-USDT,164.18,164.41,164.13,164.24,1988.915249,326623.83020439,326623.83020439,1717171860000,0
SOL-USDT,164.23,164.28,164.03,164.10,577.408529,94760.92712346,94760.92712346,1717171920000,0
SOL-USDT,164.13,164.25,164.05,164.23,497.042888,81591.97991840,81591.97991840,1717171980000,0
SOL-USDT,164.23,164.25,164.04,164.08,368.978817,60563.78948200,60563.78948200,1717172040000,0
SOL-USDT,164.09,164.35,164.06,164.33,1225.032876,201217.22964944,201217.22964944,1717172100000,0
SOL-USDT,164.33,164.46,164.22,164.32,794.212409,130504.87374137,130504.87374137,1717172160000,0
SOL-USDT,164.31,164.35,164.19,164.19,771.938047,126810.24040954,126810.24040954,1717172220000,0
SOL-USDT,164.18,164.23,164.04,164.05,1693.003291,277845.34090066,277845.34090066,1717172280000,0
SOL-USDT,164.04,164.18,163.80,164.13,6226.357525,1021298.36130066,1021298.36130066,1717172340000,0
SOL-USDT,164.15,164.28,163.96,164.04,1893.265839,310691.66298467,310691.66298467,1717172400000,0
SOL-USDT,164.04,164.18,164.04,164.16,1075.249412,176454.20461460,176454.20461460,1717172460000,0
SOL-USDT,164.15,164.20,164.09,164.16,581.201678,95399.18940682,95399.18940682,1717172520000,0
SOL-USDT,164.15,164.32,164.12,164.32,1195.746404,196346.98951711,196346.98951711,1717172580000,0
SOL-USDT,164.33,164.75,164.33,164.70,1138.252344,187311.80431809,187311.80431809,1717172640000,0
SOL-USDT,164.72,164.75,164.66,164.72,687.710087,113275.41528118,113275.41528118,1717172700000,0
SOL-USDT,164.74,164.88,164.68,164.79,1477.541393,243483.03655172,243483.03655172,1717172760000,0
SOL-USDT,164.78,164.86,164.74,164.84,990.647308,163246.07970497,163246.07970497,1717172820000,0
SOL-USDT,164.83,165.06,164.82,164.91,2433.671201,401258.37178808,401258.37178808,1717172880000,0
SOL-USDT,164.91,165.02,164.84,164.85,1491.091143,245953.83614171,245953.83614171,1717172940000,0
SOL-USDT,164.85,164.93,164.77,164.89,1465.176879,241528.45056022,241528.45056022,1717173000000,0
SOL-USDT,164.89,165.07,164.89,164.93,1915.763756,316034.62119044,316034.62119044,1717173060000,0
SOL-USDT,164.93,164.97,164.86,164.91,1452.910269,239600.58909436,239600.58909436,1717173120000,0
SOL-USDT,164.91,165.05,164.87,165.05,1319.329981,217586.99829521,217586.99829521,1717173180000,0
SOL-USDT,165.05,165.10,164.96,165.05,910.056132,150192.22853773,150192.22853773,1717173240000,0
SOL-USDT,165.04,165.05,164.89,164.92,541.098875,89271.84788875,89271.84788875,1717173300000,0
SOL-USDT,164.91,165.06,164.90,165.03,746.903898,123218.56221121,123218.56221121,1717173360000,0
SOL-USDT,165.02,165.02,164.58,164.58,781.809541,128903.13106145,128903.13106145,1717173420000,0
SOL-USDT,164.58,165.07,164.58,165.04,7130.777334,1175504.26725455,1175504.26725455,1717173480000,0
SOL-USDT,165.04,165.04,164.89,165.02,546.423644,90150.41919765,90150.41919765,1717173540000,0
SOL-USDT,165.02,165.12,164.81,165.01,2503.549868,413060.47901070,413060.47901070,1717173600000,0
SOL-USDT,165.02,165.12,165.00,165.06,750.657289,123915.36053186,123915.36053186,1717173660000,0
SOL-USDT,165.06,165.06,164.89,164.89,224.491448,37037.54569299,37037.54569299,1717173720000,0
SOL-USDT,164.90,165.01,164.82,164.93,555.892061,91679.16224560,91679.16224560,1717173780000,0
SOL-USDT,164.93,165.03,164.92,165.00,433.027791,71445.71343022,71445.71343022,1717173840000,0
SOL-USDT,165.00,165.00,164.87,164.87,373.453270,61600.22662374,61600.22662374,1717173900000,0
SOL-USDT,164.86,165.10,164.75,165.08,686.845679,113268.97785807,113268.97785807,1717173960000,0
SOL-USDT,165.08,165.08,164.91,164.92,585.529290,96601.40404443,96601.40404443,1717174020000,0
SOL-USDT,164.92,164.95,164.82,164.86,383.862628,63298.49046487,63298.49046487,1717174080000,0
SOL-USDT,164.85,165.05,164.85,165.02,99.738911,16452.93258542,16452.93258542,1717174140000,0
SOL-USDT,165.02,165.30,165.02,165.29,3297.507463,544591.85154750,544591.85154750,1717174200000,0
SOL-USDT,165.30,165.34,165.26,165.26,556.193438,91932.07799932,91932.07799932,1717174260000,0
SOL-USDT,165.27,165.52,165.27,165.49,375.060338,62056.37181741,62056.37181741,1717174320000,0
SOL-USDT,165.48,165.70,165.46,165.53,486.859119,80612.18110438,80612.18110438,1717174380000,0
