instrument_name,open,high,low,close,vol,vol_ccy,vol_quote,open_time,confirm
BTC-USDT,90456.1,90499.9,90386.9,90386.9,5.1479392,465608.909236118,465608.909236118,1764950400000,1
BTC-USDT,90386.9,90418.4,90306.1,90322.2,5.59460566,505499.058817045,505499.058817045,1764950460000,1
BTC-USDT,90322.2,90359.9,90212.5,90212.5,7.89780365,713148.977092471,713148.977092471,1764950520000,1
BTC-USDT,90212.3,90222.5,90107,90107,7.65423279,690223.493847603,690223.493847603,1764950580000,1
BTC-USDT,90106.9,90250,90093.4,90160.7,8.25881488,744715.365027013,744715.365027013,1764950640000,1
BTC-USDT,90160.5,90160.5,89963,90026,15.75911856,1418512.055438448,1418512.055438448,1764950700000,1
BTC-USDT,90026,90114.9,89990,89990.1,11.48573773,1034188.48592593,1034188.48592593,1764950760000,1
BTC-USDT,89990.6,89990.6,89442.2,89554.1,120.0439554,10773312.339125353,10773312.339125353,1764950820000,1
BTC-USDT,89554.2,89671.9,89373.5,89373.5,23.76987384,2127726.619898883,2127726.619898883,1764950880000,1
BTC-USDT,89373.4,89536.7,89373.4,89491.1,16.18505667,1448365.302804461,1448365.302804461,1764950940000,1
BTC-USDT,89491,89536.7,89397.5,89399.8,17.04346437,1524473.118035307,1524473.118035307,1764951000000,1
BTC-USDT,89399.7,89505.7,89357.7,89425.8,11.9431902,1068009.552034301,1068009.552034301,1764951060000,1
BTC-USDT,89425.8,89445,89298,89304,10.86846648,970999.763389933,970999.763389933,1764951120000,1
BTC-USDT,89313.6,89386,89285.5,89322.4,8.88581709,793736.07742131,793736.07742131,1764951180000,1
BTC-USDT,89331.4,89372.5,89232.9,89364.9,16.04358462,1432621.355375902,1432621.355375902,1764951240000,1
BTC-USDT,89363.6,89363.6,89236.3,89293.9,10.35235735,924374.696579173,924374.696579173,1764951300000,1
BTC-USDT,89293.2,89321.3,89088.8,89117.9,14.32227635,1277584.679193536,1277584.679193536,1764951360000,1
BTC-USDT,89117.9,89188.3,88900,89094.1,41.03556437,3652967.726382502,3652967.726382502,1764951420000,1
BTC-USDT,89094.3,89267.6,89094.3,89263.6,21.8960403,1952922.062954054,1952922.062954054,1764951480000,1
BTC-USDT,89264.9,89312.1,89185.1,89185.1,15.53511605,1386084.484322011,1386084.484322011,1764951540000,1
BTC-USDT,89184.9,89230.1,89110,89166.6,10.66493642,950801.797579432,950801.797579432,1764951600000,1
BTC-USDT,89167,89271,89126.1,89126.1,4.57900848,408497.914784414,408497.914784414,1764951660000,1
BTC-USDT,89125.9,89333.3,89123.9,89267.2,44.9497735,4012712.324630698,4012712.324630698,1764951720000,1
BTC-USDT,89267.2,89293.9,89195,89206,8.48522866,757252.767086681,757252.767086681,1764951780000,1
BTC-USDT,89205.9,89205.9,89000,89014,53.09081161,4726669.893613273,4726669.893613273,1764951840000,1
BTC-USDT,89013.9,89249.4,89013.9,89211.2,18.32330744,1633558.126714007,1633558.126714007,1764951900000,1
BTC-USDT,89211.2,89243.1,89109.6,89241,17.7527363,1583204.05057647,1583204.05057647,1764951960000,1
BTC-USDT,89234.8,89277.2,89157.1,89157.1,9.3635925,835595.161999478,835595.161999478,1764952020000,1
BTC-USDT,89157,89163.1,89042,89124.4,12.33751034,1099209.292128521,1099209.292128521,1764952080000,1
BTC-USDT,89124.3,89129.1,89062.6,89069.9,4.66614315,415690.965853571,415690.965853571,1764952140000,1
BTC-USDT,89069.7,89130.5,89016.9,89096,8.45596301,753190.304856669,753190.304856669,1764952200000,1
BTC-USDT,89090.6,89090.6,88960,88960,12.00209658,1068185.959109577,1068185.959109577,1764952260000,1
BTC-USDT,88960,88967.5,88761.6,88770,50.83436913,4516117.798140234,4516117.798140234,1764952320000,1
BTC-USDT,88770,89003.3,88769.5,88914.3,11.0640467,983501.333180511,983501.333180511,1764952380000,1
BTC-USDT,88914.5,88923.1,88706,88794.2,12.51642352,1111014.756208369,1111014.756208369,1764952440000,1
BTC-USDT,88794.5,88938.7,88794.5,88934.4,14.27334886,1268923.95600726,1268923.95600726,1764952500000,1
BTC-USDT,88934.5,88937.2,88724.3,88724.4,6.13931811,545281.617168827,545281.617168827,1764952560000,1
BTC-USDT,88724.3,88771.9,88704.1,88730,7.2672179,644833.578506095,644833.578506095,1764952620000,1
BTC-USDT,88730.1,88775.9,88712.1,88718.8,4.83026895,428636.713128309,428636.713128309,1764952680000,1
BTC-USDT,88718.8,88753,88395.3,88585.9,47.93908092,4244741.288085874,4244741.288085874,1764952740000,1
BTC-USDT,88585.9,88589.5,88413,88438.2,30.9296582,2736428.768177572,2736428.768177572,1764952800000,1
BTC-USDT,88440,88499.9,88324,88387.9,37.11651643,3281380.620909613,3281380.620909613,1764952860000,1
BTC-USDT,88387.9,88387.9,88040.4,88179,113.70050789,10023952.666745156,10023952.666745156,1764952920000,1
BTC-USDT,88190.2,88463.8,88190.2,88381,18.99959889,1678458.55177884,1678458.55177884,1764952980000,1
BTC-USDT,88379.6,88417.5,88229.1,88391.7,20.72857378,1831372.597405442,1831372.597405442,1764953040000,1
BTC-USDT,88391.6,88615,88391.6,88604.8,27.94266093,2473583.160649141,2473583.160649141,1764953100000,1
BTC-USDT,88607,88621.7,88494.6,88526.6,9.16429722,811362.697308734,811362.697308734,1764953160000,1
BTC-USDT,88526.4,88688,88496.9,88534.4,18.34226418,1624573.505933138,1624573.505933138,1764953220000,1
BTC-USDT,88534.3,88582.7,88460,88479.9,8.74500943,774175.239408207,774175.239408207,1764953280000,1
BTC-USDT,88479.9,88479.9,88328.1,88386.7,13.97110804,1234885.984960566,1234885.984960566,1764953340000,1
BTC-USDT,88386.9,88454.7,88381,88440.5,31.01642949,2742758.170412829,2742758.170412829,1764953400000,1
BTC-USDT,88440.4,88576.7,88440.4,88551.7,10.88693329,963718.569761228,963718.569761228,1764953460000,1
BTC-USDT,88551.8,88773.5,88551.8,88741.7,12.25521385,1087200.457657374,1087200.457657374,1764953520000,1
BTC-USDT,88741.9,88790.3,88668.7,88732.4,4.49410783,398761.568675584,398761.568675584,1764953580000,1
BTC-USDT,88739.4,88812,88671.6,88762.6,10.70479155,949961.038336386,949961.038336386,1764953640000,1
BTC-USDT,88762.6,88762.7,88625.9,88701.9,7.32282625,649473.108975005,649473.108975005,1764953700000,1
BTC-USDT,88699.6,88748.9,88674.3,88747.9,8.29480985,735826.612691211,735826.612691211,1764953760000,1
BTC-USDT,88748,88897.9,88748,88845.5,9.57121954,850511.968575114,850511.968575114,1764953820000,1
BTC-USDT,88849.9,88967.1,88835.1,88954.5,27.41328993,2437080.012526718,2437080.012526718,1764953880000,1
BTC-USDT,88954.5,88990.6,88811.1,88811.1,8.81516571,783784.846315431,783784.846315431,1764953940000,1
BTC-USDT,88811,88825.9,88740,88800.9,6.23688988,553677.718081447,553677.718081447,1764954000000,1
BTC-USDT,88800.9,88900.9,88756.3,88884.1,5.27235531,468147.805902188,468147.805902188,1764954060000,1
BTC-USDT,88884.1,88893.1,88788,88873,4.85014349,430873.944278769,430873.944278769,1764954120000,1
BTC-USDT,88872.9,88916.9,88827.9,88911.8,3.59524699,319473.369346112,319473.369346112,1764954180000,1
